date,close,volume,open,high,low
7/14/18,207.23,"10,861,430",207.32,208.72,206.84
7/13/18,207.32,11421420,207.81,208.43,206.45
7/12/18,206.92,15439760,203.43,207.08,203.19
7/11/18,202.54,12729340,202.22,204.5,201.75
7/10/18,203.54,12868530,204.5,204.91,202.26
7/9/18,204.74,18133700,204.93,205.8,202.1201
7/6/18,203.23,19687900,198.45,203.64,197.7
7/5/18,198.45,19582000,194.74,198.65,194.03
7/3/18,192.73,13489510,194.55,195.4,192.52
7/2/18,197.36,13735130,193.37,197.45,192.22
6/29/18,194.32,15516540,197.32,197.5997,193.955
6/28/18,196.23,18153600,195.18,197.34,193.26
6/27/18,195.84,18697530,199.18,200.75,195.8
6/26/18,199,17869610,197.6,199.1,196.23
6/25/18,196.35,25170720,200,200,193.11
6/22/18,201.74,17050440,201.16,202.24,199.31
6/21/18,201.5,18906350,202.76,203.39,200.09
6/20/18,202,28175590,199.1,203.55,198.805
6/19/18,197.49,19968690,196.235,197.96,193.79
6/18/18,198.31,16470990,194.8,199.58,194.13
6/15/18,195.85,21833150,195.79,197.07,194.64
6/14/18,196.81,19096760,193.1,197.28,192.91
6/13/18,192.41,15121450,192.74,194.5,191.91
6/12/18,192.4,11217070,192.17,193.28,191.56
6/11/18,191.54,12885730,188.81,192.6,188.8
6/8/18,189.1,12503130,187.53,189.4754,186.43
6/7/18,188.18,21451790,190.75,190.97,186.77
6/6/18,191.34,22500160,191.025,192.53,189.11
6/5/18,192.94,15059480,194.3,195,192.62
6/4/18,193.28,18881330,191.84,193.98,191.47
6/1/18,193.99,17278520,193.065,194.5492,192.07
5/31/18,191.78,30727790,187.87,192.72,187.48
5/30/18,187.67,13636820,186.54,188,185.25
5/29/18,185.74,16348650,184.34,186.81,183.71
5/25/18,184.92,10730560,186.02,186.33,184.45
5/24/18,185.93,11628050,185.88,186.8,185.03
5/23/18,186.9,16594310,182.5,186.91,182.18
5/22/18,183.8,12267860,184.93,185.42,183.43
5/21/18,184.49,13078810,183.77,185.3,183.13
5/18/18,182.68,13066220,183.49,184.19,182.61
5/17/18,183.76,14695830,182.68,184.06,182.22
5/16/18,183.2,16842080,183.695,184.32,182.66
5/15/18,184.32,15409930,184.88,185.29,183.2
5/14/18,186.64,15480030,187.71,187.86,186.2
5/11/18,186.99,21197800,184.85,188.32,184.18
5/10/18,185.53,20931530,183.15,186.1292,182.5
5/9/18,182.66,23266280,179.67,183.01,178.7807
5/8/18,178.92,15482580,178.25,179.04,177.11
5/7/18,177.97,18302910,177.35,179.5,177.17
5/4/18,176.61,17668270,173.08,176.98,173.06
5/3/18,174.02,23908500,175.13,176.12,172.12
5/2/18,176.07,29812020,174.246,178.08,174.2
5/1/18,173.86,26001150,172,174.02,170.23
4/30/18,172,20662060,173.79,175.72,171.71
4/27/18,173.59,29773640,176.81,177.1,172.6
4/26/18,174.16,77391810,173.22,176.27,170.8
4/25/18,159.69,38451590,160.145,161.06,156.19
4/24/18,159.69,34981150,165.43,166.1,158.19
4/23/18,165.84,22894510,167.27,168.45,165.09
4/20/18,166.28,18917050,167.79,168.43,165.81
4/19/18,168.1,21921120,166.2,168.33,165.2
4/18/18,166.36,20248580,166.88,168.12,165.77
4/17/18,168.66,21986820,165.83,169,165.66
4/16/18,164.83,17951530,165.725,165.78,163.39
4/13/18,164.52,19450140,164.58,165.7036,163.77